graph_id,guid,label,entropy,degree_in,degree_out,has_encoded,has_download
1,{a491f0b2-4926-6908-879e-477d-db5b95a76d79},1,0.372,0,0,0,1
2,{bb5e4bcf-236f-6908-4063-41bc-f358a8e56e0c},1,0.474,0,0,0,0
3,{3c835dc0-d015-6908-f8a5-f674-544b0f02bad0},1,0.226,0,0,1,0
5,{00e85ece-42fa-6908-861f-52ba-e238bdc14f1f},1,0.315,0,0,0,1
6,{0710d430-85bd-6908-5b6d-87eb-378009cb3942},1,0.283,0,0,1,0
8,{6a702e2f-69e6-6908-d71d-c769-0a00b20dcb6e},1,0.487,0,0,0,1
10,{da09dfa0-2c5f-6908-8ecf-e6cf-ac3c6105716b},1,0.225,0,0,1,0
12,{26d794d3-9b90-6908-2b9c-7f12-d514c3b290d0},1,0.328,0,0,0,0
13,{40181c6e-2ec2-6908-7535-0a9f-59b2c19ad58c},1,0.528,0,0,0,0
15,{dea4ae17-e16f-6908-330d-e9f2-d1e824e75e8e},1,0.31,0,0,0,1
18,{03902c5d-3f47-6908-e8d9-bcb7-863aac1e86d8},1,0.24,0,0,1,0
19,{0577aea9-aac1-6908-7cb5-4079-232034885a46},1,0.545,0,0,0,0
20,{370bc063-e732-6908-74fd-d3df-cc2674188109},1,0.545,0,0,0,0
22,{2cfa55b0-c2aa-6908-75d1-b555-cb4c12738a23},1,0.473,0,0,0,0
23,{97674900-b431-6908-25fc-9eed-e7617634c169},1,0.157,0,0,1,0
26,{e7e646c7-09ba-6908-8308-6e6a-4c8dd5c0244d},1,0.272,0,0,0,1
30,{21084dd9-1c5f-6908-3f92-4e58-544d4ddb1b36},1,0.301,0,0,1,0
31,{18c8a616-9496-6908-c4af-d615-6131500e15c0},1,0.241,0,0,1,0
34,{286ed390-f38e-6908-f474-661f-a4704988e418},1,0.586,0,0,0,0
37,{905c7bdd-ecbc-6908-9dc8-0b25-8248655ce508},1,0.277,0,0,1,0
38,{c6ac1b04-47bf-6908-941a-77e4-794b52171bf3},1,0.643,0,0,0,0
39,{12a1fe7d-6f1c-6908-f573-6af3-9b3b553d2625},1,0.521,0,0,0,1
40,{7d97ac0f-5622-6908-b450-56a9-fa048bea75c1},1,0.558,0,0,0,0
41,{152aeaec-de29-6908-a99c-30d3-15c9eb4d8f42},1,0.175,0,0,1,0
42,{16591c89-dca9-6908-e5ce-d0eb-0d721a7167c7},1,0.263,0,0,1,0
43,{4ce953a7-66d6-6908-f540-a0dc-953851b30182},1,0.605,0,0,0,0
44,{15fa9483-4889-6908-b258-9fb0-e92157d337d3},1,0.21,0,0,1,0
45,{98af5cca-c475-6908-d898-5f1b-fab22ab7b2ef},1,0.299,0,0,1,0
46,{ce315937-b39e-6908-8fea-5635-95d4b43cde0a},1,0.283,0,0,0,0
48,{b212a6ee-3dbe-6908-d839-43ac-24437a4a902f},1,0.175,0,0,1,0
53,{7316ce64-a0c8-6908-d022-3dd1-b771893259f3},1,0.282,0,0,1,0
54,{7603c36c-5602-6908-ddc6-ca3d-0f187f0223bc},1,0.425,0,0,0,0
55,{f86b543a-9e3c-6908-59e2-fb1a-2e3609b7fdf7},1,0.219,0,0,1,0
56,{55f3ad50-05d5-6908-87c9-6b5b-b372115affac},1,0.353,0,0,0,0
57,{a3607681-29f3-6908-f277-3b23-f11f65c06b93},1,0.722,0,0,0,0
58,{ceae1325-2c8e-6908-c6b4-cb72-a6fa8d536c75},1,0.196,0,0,1,0
60,{e53e5f4c-b28a-6908-eb01-8105-eef337dc8c78},1,0.727,0,0,0,0
62,{96b31f4a-5583-6908-216d-1768-e96f4a73b0bf},1,0.473,0,0,0,0
66,{2a061609-47e8-6908-d184-36c3-60053227e8d8},1,0.158,0,0,0,0
67,{ac20af11-5b0a-6908-a50f-3b16-b458c2c226ff},1,0.13,0,0,1,0
68,{8e7d3f5a-4298-6908-5265-8291-a93f0171f5a7},1,0.407,0,0,0,0
70,{50ffde64-c76c-6908-3c92-0305-20609e4c24dd},1,0.485,0,0,0,0
71,{a7cd13cb-3339-6908-91fd-23bd-6312e66e2c11},1,0.299,0,0,1,0
76,{bc5c3cd8-3cf8-6908-75a4-e4a8-52d6f301bb6c},1,0.17,0,0,1,0
77,{8cb21aa2-b239-6908-b1e8-8d92-6398f68ae9b7},1,0.846,0,0,0,0
79,{5dad348e-ff5e-6908-d90f-6bca-be9fc08fe6d7},1,0.42,0,0,0,0
80,{1f096b9d-65dd-6908-595d-91b8-a6725ae86d18},1,0.402,0,0,0,0
81,{8c662766-0d7f-6908-cb45-2a9f-86601a9b0d42},1,0.295,0,0,1,0
82,{a55fa725-c1b8-6908-70f1-86a5-d82f144716cc},1,0.252,0,0,1,0
90,{0b21a308-5734-6908-1ec6-916a-1b2d4572b385},1,0.407,0,0,0,0
96,{16718639-930a-6908-daa6-a20a-b52c9f8ceda5},1,0.177,0,0,1,0
