guid,pid,command_line,parent_count,child_process_count,network_connections,dns_queries,files_created,has_invoke,has_download,has_encoded,entropy,first_seen,label
{a3b1799d-0cce-6908-8cd0-7d62-4771392456de},4000,Get-Process | Where-Object {$_.CPU -gt 200},1,0,0,0,0,False,False,False,0.605,2025-11-06T08:06:23.161671+00:00Z,0
{37f8a88b-0d96-6908-65ce-d6cb-e5fe386ecbe0},4001,Get-Process | Sort-Object WS -Descending | Select -First 10,1,0,0,0,0,False,False,False,0.424,2025-11-06T08:06:24.161744+00:00Z,0
{27cd8130-ac56-6908-3454-2f7c-31846142ea7d},4002,Get-Process -Name chrome | Stop-Process -Force,1,0,0,0,0,False,False,False,0.391,2025-11-06T08:06:25.161774+00:00Z,0
{b45ed1f0-1776-6908-74af-942a-28dafc377a4c},4003,Get-Counter '\Processor(_Total)\% Processor Time',1,0,0,0,0,False,False,False,0.49,2025-11-06T08:06:26.161797+00:00Z,0
{29a3b2e9-b5e6-6908-6b44-88b1-579fa28defe3},4004,Get-WmiObject Win32_PerfFormattedData_PerfOS_Processor,1,0,0,0,0,False,False,False,0.481,2025-11-06T08:06:27.161821+00:00Z,0
{af42e12f-1ca3-6908-7545-106f-a183ce177b4e},4005,Start-Process msedge.exe -WindowStyle Maximized,1,0,0,0,0,False,False,False,0.511,2025-11-06T08:06:28.161841+00:00Z,0
{a491f0b2-4926-6908-879e-477d-db5b95a76d79},4006,Get-Process | Where {$_.Path -like '*\Program Files*'},1,0,0,0,0,False,False,False,0.519,2025-11-06T08:06:29.161863+00:00Z,0
{a0a04dc4-d825-6908-2086-c500-efa4ff01cf99},4007,Get-Process | Export-Csv C:\temp\proc.csv,1,0,0,0,0,False,False,False,0.488,2025-11-06T08:06:30.161881+00:00Z,0
{4b22d308-50fa-6908-e84e-01a9-367be9a1fa6f},4008,Get-Counter '\Memory\Available MBytes' -Continuous,1,0,0,0,0,False,False,False,0.46,2025-11-06T08:06:31.161900+00:00Z,0
{04fc6d82-b9d8-6908-9d72-7a99-7b530ed42f1a},4009,Get-Process | Group-Object Company | Sort Count -Desc,1,0,0,0,0,False,False,False,0.434,2025-11-06T08:06:32.161927+00:00Z,0
{a8e56e0c-548b-6908-87b5-d8a5-6c70f6e07cc0},4010,Get-Process -Id $PID | Select-Object StartTime,1,0,0,0,0,False,False,False,0.522,2025-11-06T08:06:33.161946+00:00Z,0
{1efa2197-730b-6908-20c8-ad19-75d18dcdcd03},4011,Get-Process | Where {$_.Handles -gt 1000},1,0,0,0,0,False,False,False,0.634,2025-11-06T08:06:34.161964+00:00Z,0
